Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,4,0.365,0.412,0.071,Random Forest,SMOTE,Backward Selection,93.000,42.000,446.000,10.000,0.689,0.903,0.923,0.728
bookkeeper,4,0.365,0.412,0.071,IBk,No Sampling,No Selection,90.000,29.000,459.000,13.000,0.756,0.874,0.901,0.767
bookkeeper,4,0.365,0.412,0.071,IBk,No Sampling,Backward Selection,92.000,38.000,450.000,11.000,0.708,0.893,0.914,0.739
bookkeeper,4,0.365,0.412,0.071,IBk,Oversampling,No Selection,89.000,36.000,452.000,14.000,0.712,0.864,0.887,0.729
bookkeeper,4,0.365,0.412,0.071,IBk,Oversampling,Backward Selection,93.000,38.000,450.000,10.000,0.710,0.903,0.911,0.745
bookkeeper,4,0.365,0.412,0.071,IBk,Undersampling,No Selection,90.000,35.000,453.000,13.000,0.720,0.874,0.904,0.740
bookkeeper,4,0.365,0.412,0.071,IBk,Undersampling,Backward Selection,92.000,40.000,448.000,11.000,0.697,0.893,0.913,0.730
bookkeeper,4,0.365,0.412,0.071,IBk,SMOTE,No Selection,91.000,54.000,434.000,12.000,0.628,0.883,0.905,0.666
bookkeeper,4,0.365,0.412,0.071,IBk,SMOTE,Backward Selection,93.000,38.000,450.000,10.000,0.710,0.903,0.913,0.745
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,No Sampling,No Selection,9.000,27.000,560.000,20.000,0.250,0.310,0.730,0.237
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,No Sampling,Backward Selection,9.000,29.000,558.000,20.000,0.237,0.310,0.773,0.227
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,Oversampling,No Selection,9.000,27.000,560.000,20.000,0.250,0.310,0.817,0.237
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,Oversampling,Backward Selection,9.000,29.000,558.000,20.000,0.237,0.310,0.784,0.227
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,Undersampling,No Selection,9.000,29.000,558.000,20.000,0.237,0.310,0.763,0.227
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,Undersampling,Backward Selection,9.000,30.000,557.000,20.000,0.231,0.310,0.776,0.223
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,SMOTE,No Selection,9.000,30.000,557.000,20.000,0.231,0.310,0.729,0.223
bookkeeper,5,0.513,0.343,0.014,Naive Bayes,SMOTE,Backward Selection,9.000,30.000,557.000,20.000,0.231,0.310,0.777,0.223
bookkeeper,5,0.513,0.343,0.014,Random Forest,No Sampling,No Selection,12.000,32.000,555.000,17.000,0.273,0.414,0.738,0.288
bookkeeper,5,0.513,0.343,0.014,Random Forest,No Sampling,Backward Selection,16.000,57.000,530.000,13.000,0.219,0.552,0.749,0.264
bookkeeper,5,0.513,0.343,0.014,Random Forest,Oversampling,No Selection,10.000,35.000,552.000,19.000,0.222,0.345,0.751,0.226
bookkeeper,5,0.513,0.343,0.014,Random Forest,Oversampling,Backward Selection,17.000,61.000,526.000,12.000,0.218,0.586,0.766,0.267
bookkeeper,5,0.513,0.343,0.014,Random Forest,Undersampling,No Selection,12.000,49.000,538.000,17.000,0.197,0.414,0.765,0.217
bookkeeper,5,0.513,0.343,0.014,Random Forest,Undersampling,Backward Selection,17.000,71.000,516.000,12.000,0.193,0.586,0.767,0.237
bookkeeper,5,0.513,0.343,0.014,Random Forest,SMOTE,No Selection,11.000,38.000,549.000,18.000,0.224,0.379,0.647,0.237
bookkeeper,5,0.513,0.343,0.014,Random Forest,SMOTE,Backward Selection,16.000,55.000,532.000,13.000,0.225,0.552,0.756,0.271
bookkeeper,5,0.513,0.343,0.014,IBk,No Sampling,No Selection,9.000,32.000,555.000,20.000,0.220,0.310,0.569,0.214
bookkeeper,5,0.513,0.343,0.014,IBk,No Sampling,Backward Selection,17.000,55.000,532.000,12.000,0.236,0.586,0.747,0.289
bookkeeper,5,0.513,0.343,0.014,IBk,Oversampling,No Selection,9.000,41.000,546.000,20.000,0.180,0.310,0.646,0.179
bookkeeper,5,0.513,0.343,0.014,IBk,Oversampling,Backward Selection,18.000,53.000,534.000,11.000,0.254,0.621,0.782,0.314
bookkeeper,5,0.513,0.343,0.014,IBk,Undersampling,No Selection,10.000,48.000,539.000,19.000,0.172,0.345,0.659,0.178
bookkeeper,5,0.513,0.343,0.014,IBk,Undersampling,Backward Selection,18.000,71.000,516.000,11.000,0.202,0.621,0.762,0.252
bookkeeper,5,0.513,0.343,0.014,IBk,SMOTE,No Selection,12.000,52.000,535.000,17.000,0.188,0.414,0.616,0.207
bookkeeper,5,0.513,0.343,0.014,IBk,SMOTE,Backward Selection,17.000,57.000,530.000,12.000,0.230,0.586,0.745,0.281
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,No Sampling,No Selection,11.000,26.000,599.000,16.000,0.297,0.407,0.835,0.311
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,No Sampling,Backward Selection,11.000,26.000,599.000,16.000,0.297,0.407,0.874,0.311
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,Oversampling,No Selection,11.000,26.000,599.000,16.000,0.297,0.407,0.831,0.311
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,Oversampling,Backward Selection,12.000,26.000,599.000,15.000,0.316,0.444,0.874,0.337
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,Undersampling,No Selection,11.000,27.000,598.000,16.000,0.289,0.407,0.838,0.305
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,Undersampling,Backward Selection,12.000,31.000,594.000,15.000,0.279,0.444,0.874,0.308
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,SMOTE,No Selection,11.000,28.000,597.000,16.000,0.282,0.407,0.833,0.299
bookkeeper,6,0.668,0.275,0.010,Naive Bayes,SMOTE,Backward Selection,12.000,29.000,596.000,15.000,0.293,0.444,0.874,0.319
bookkeeper,6,0.668,0.275,0.010,Random Forest,No Sampling,No Selection,7.000,7.000,618.000,20.000,0.500,0.259,0.729,0.322
bookkeeper,6,0.668,0.275,0.010,Random Forest,No Sampling,Backward Selection,10.000,14.000,611.000,17.000,0.417,0.370,0.745,0.368
bookkeeper,6,0.668,0.275,0.010,Random Forest,Oversampling,No Selection,5.000,17.000,608.000,22.000,0.227,0.185,0.775,0.173
bookkeeper,6,0.668,0.275,0.010,Random Forest,Oversampling,Backward Selection,11.000,21.000,604.000,16.000,0.344,0.407,0.674,0.343
bookkeeper,6,0.668,0.275,0.010,Random Forest,Undersampling,No Selection,10.000,20.000,605.000,17.000,0.333,0.370,0.827,0.321
bookkeeper,6,0.668,0.275,0.010,Random Forest,Undersampling,Backward Selection,15.000,32.000,593.000,12.000,0.319,0.556,0.765,0.372
bookkeeper,6,0.668,0.275,0.010,Random Forest,SMOTE,No Selection,7.000,20.000,605.000,20.000,0.259,0.259,0.773,0.227
bookkeeper,6,0.668,0.275,0.010,Random Forest,SMOTE,Backward Selection,9.000,15.000,610.000,18.000,0.375,0.333,0.712,0.327
bookkeeper,6,0.668,0.275,0.010,IBk,No Sampling,No Selection,8.000,19.000,606.000,19.000,0.296,0.296,0.657,0.266
bookkeeper,6,0.668,0.275,0.010,IBk,No Sampling,Backward Selection,12.000,13.000,612.000,15.000,0.480,0.444,0.581,0.439
bookkeeper,6,0.668,0.275,0.010,IBk,Oversampling,No Selection,7.000,18.000,607.000,20.000,0.280,0.259,0.634,0.239
bookkeeper,6,0.668,0.275,0.010,IBk,Oversampling,Backward Selection,12.000,20.000,605.000,15.000,0.375,0.444,0.565,0.379
bookkeeper,6,0.668,0.275,0.010,IBk,Undersampling,No Selection,11.000,30.000,595.000,16.000,0.268,0.407,0.708,0.288
bookkeeper,6,0.668,0.275,0.010,IBk,Undersampling,Backward Selection,15.000,29.000,596.000,12.000,0.341,0.556,0.665,0.391
bookkeeper,6,0.668,0.275,0.010,IBk,SMOTE,No Selection,9.000,56.000,569.000,18.000,0.138,0.333,0.638,0.146
bookkeeper,6,0.668,0.275,0.010,IBk,SMOTE,Backward Selection,13.000,14.000,611.000,14.000,0.481,0.481,0.608,0.459
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,No Sampling,No Selection,9.000,32.000,624.000,10.000,0.220,0.474,0.857,0.272
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,No Sampling,Backward Selection,9.000,36.000,620.000,10.000,0.200,0.474,0.893,0.252
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,Oversampling,No Selection,9.000,37.000,619.000,10.000,0.196,0.474,0.846,0.247
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,Oversampling,Backward Selection,9.000,44.000,612.000,10.000,0.170,0.474,0.893,0.218
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,Undersampling,No Selection,9.000,41.000,615.000,10.000,0.180,0.474,0.840,0.229
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,Undersampling,Backward Selection,10.000,48.000,608.000,9.000,0.172,0.526,0.895,0.227
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,SMOTE,No Selection,9.000,42.000,614.000,10.000,0.176,0.474,0.854,0.225
bookkeeper,7,0.831,0.229,0.006,Naive Bayes,SMOTE,Backward Selection,10.000,47.000,609.000,9.000,0.175,0.526,0.893,0.231
bookkeeper,7,0.831,0.229,0.006,Random Forest,No Sampling,No Selection,10.000,16.000,640.000,9.000,0.385,0.526,0.916,0.426
bookkeeper,7,0.831,0.229,0.006,Random Forest,No Sampling,Backward Selection,11.000,23.000,633.000,8.000,0.324,0.579,0.945,0.393
bookkeeper,7,0.831,0.229,0.006,Random Forest,Oversampling,No Selection,9.000,20.000,636.000,10.000,0.310,0.474,0.914,0.353
bookkeeper,7,0.831,0.229,0.006,Random Forest,Oversampling,Backward Selection,10.000,25.000,631.000,9.000,0.286,0.526,0.943,0.347
bookkeeper,7,0.831,0.229,0.006,Random Forest,Undersampling,No Selection,14.000,44.000,612.000,5.000,0.241,0.737,0.924,0.335
bookkeeper,7,0.831,0.229,0.006,Random Forest,Undersampling,Backward Selection,16.000,71.000,585.000,3.000,0.184,0.842,0.926,0.268
bookkeeper,7,0.831,0.229,0.006,Random Forest,SMOTE,No Selection,9.000,32.000,624.000,10.000,0.220,0.474,0.899,0.272
bookkeeper,7,0.831,0.229,0.006,Random Forest,SMOTE,Backward Selection,11.000,24.000,632.000,8.000,0.314,0.579,0.942,0.385
bookkeeper,7,0.831,0.229,0.006,IBk,No Sampling,No Selection,10.000,26.000,630.000,9.000,0.278,0.526,0.759,0.339
bookkeeper,7,0.831,0.229,0.006,IBk,No Sampling,Backward Selection,12.000,27.000,629.000,7.000,0.308,0.632,0.809,0.391
bookkeeper,7,0.831,0.229,0.006,IBk,Oversampling,No Selection,10.000,21.000,635.000,9.000,0.323,0.526,0.751,0.378
bookkeeper,7,0.831,0.229,0.006,IBk,Oversampling,Backward Selection,11.000,23.000,633.000,8.000,0.324,0.579,0.769,0.393
bookkeeper,7,0.831,0.229,0.006,IBk,Undersampling,No Selection,13.000,51.000,605.000,6.000,0.203,0.684,0.804,0.282
bookkeeper,7,0.831,0.229,0.006,IBk,Undersampling,Backward Selection,15.000,58.000,598.000,4.000,0.205,0.789,0.854,0.295
bookkeeper,7,0.831,0.229,0.006,IBk,SMOTE,No Selection,11.000,47.000,609.000,8.000,0.190,0.579,0.762,0.254
bookkeeper,7,0.831,0.229,0.006,IBk,SMOTE,Backward Selection,12.000,33.000,623.000,7.000,0.267,0.632,0.804,0.349
